RECTYPE,LEA,ESTAB,SCHNAME,URN,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_95,PTL2BASICS_95,PTEBACC_94,PTL2BASICS_94,PT5EM_94
1,204,6072,Yesodey Hatorah School,100287,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,204,6003,Leaways School,137808,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4697,The Urswick School - A Church of England Secondary School,100284,0,VA,136,42.9,0.16,-0.06,0.37,38%,20%,24%,29%,51%,50%
1,204,4003,Mossbourne Victoria Park Academy,140210,0,AC, , , , , , , , , , , 
1,204,4318,Yesodey Hatorah Senior Girls School,133599,0,VA,56,56.9,0.76,0.42,1.09,0%,0%,68%,0%,84%,80%
2,204,7161,The Garden School,100311,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,204,4714,Cardinal Pole Catholic School,100285,0,VA,162,47.4,0.62,0.42,0.82,27%,10%,31%,14%,59%,59%
1,204,6389,Paragon Christian Academy,100301,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,204,7171,Ickburgh School,100312,0,CYS,8,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,204,6388,Tayyibah Girls' School,100300,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4302,Clapton Girls' Academy,137442,0,ACC,175,54.1,0.52,0.33,0.7,52%,34%,62%,35%,80%,79%
1,204,6905,Mossbourne Community Academy,134693,0,AC,196,56.6,1.08,0.91,1.26,84%,52%,60%,57%,82%,80%
1,204,6909,Skinners' Academy,136137,0,AC,170,46.7,0.05,-0.14,0.24,30%,22%,43%,24%,61%,60%
2,204,7097,Stormont House School,100307,0,CYS,18,2.2,-2.2,-2.77,-1.62,0%,0%,0%,0%,0%,0%
1,204,4283,Haggerston School,100277,0,CY,179,44.5,-0.07,-0.26,0.13,31%,16%,35%,21%,53%,51%
1,204,6296,Beis Rochel d'Satmar Girls' School,100293,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6407,"Tawhid Boys School, Tawhid Educational Trust",132736,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6010,The Boxing Academy,141516,1,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4005,"City of London Academy, Shoreditch Park",143756,0,F, , , , , , , , , , , 
2,204,6409,Side By Side School,133439,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6399,Beis Chinuch Lebonos Girls School,102171,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6908,"The City Academy, Hackney",135835,0,AC,176,55.4,1.07,0.88,1.26,85%,45%,51%,59%,77%,76%
1,204,6337,Beis Malka Girls' School,100295,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,204,6009,Inspired Directions School,141029,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4000,Lubavitch House School (Senior Girls),138143,0,VA,10,43.1,0.17,-0.69,1.03,80%,50%,50%,70%,70%,70%
1,204,6906,The Petchey Academy,131062,0,AC,169,45.3,0.05,-0.14,0.24,83%,36%,44%,41%,66%,61%
1,204,4641,Our Lady's Convent Roman Catholic High School,100282,0,VA,121,50.8,0.49,0.26,0.71,60%,29%,46%,36%,72%,71%
1,204,4310,Stoke Newington School and Sixth Form,100279,0,CY,253,50.2,0.08,-0.07,0.24,55%,31%,45%,37%,67%,64%
1,205,4002,The Hurlingham Academy,141617,0,AC,71,50.6,0.54,0.21,0.87,23%,14%,59%,15%,70%,70%
4,205, , , , , ,1318,50.4,0.17,0.1,0.24,59.60%,35.70%,52.30%,39.70%,69.50%,68.00%
1,205,6200,Young Dancers Academy,135729,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4000,West London Free School,136750,0,F,119,53.6,0.03,-0.21,0.27,76%,37%,58%,39%,79%,77%
1,205,6404,Chelsea Independent College,134735,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4106,Fulham College Boys' School,139364,0,ACC,68,44.6,0.2,-0.12,0.52,18%,6%,34%,10%,56%,56%
1,205,5400,The London Oratory School,137157,0,ACC,177,62.5,0.54,0.35,0.73,80%,60%,77%,66%,94%,93%
1,205,6399,St James Senior Girls' School,100527,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,205,7204,Cambridge School,100382,0,CYS,18,1.5,-1.47,-2.12,-0.82,0%,0%,0%,0%,0%,0%
2,205,6395,The Moat School,131675,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,205,7206,Parayhouse School,135175,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,205,7014,Queensmill School,100378,0,CYS,9,NE,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE
1,205,6011,St Paul's Girls' School,100366,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4001,The Fulham Boys School,141135,0,F, , , , , , , , , , , 
2,205,7203,Jack Tizard School,100381,0,CYS,6,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,205,4315,Fulham Cross Girls' School and Language College,139365,0,ACC,114,53.9,0.85,0.61,1.09,41%,31%,55%,32%,74%,73%
1,205,6905,Ark Burlington Danes Academy,131752,0,AC,163,45.2,-0.14,-0.34,0.05,82%,24%,31%,32%,58%,57%
1,205,6306,Latymer Upper School,100370,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4632,Lady Margaret School,138607,0,ACC,116,61.7,0.52,0.28,0.76,80%,59%,74%,62%,88%,88%
1,205,6291,The Godolphin and Latymer School,100369,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4004,Phoenix Academy,143129,0,AC,160,33.7,-0.95,-1.15,-0.75,8%,3%,23%,3%,39%,34%
1,205,4620,Sacred Heart High School,137935,0,ACC,158,66.4,1,0.8,1.19,89%,72%,82%,77%,94%,93%
1,205,6906,Hammersmith Academy,136172,0,AC,117,48.2,-0.07,-0.3,0.16,84%,38%,44%,46%,65%,62%
2,205,7153,Woodlane High School,100379,0,CYS,23,9.4,-1.55,-2.1,-1.01,0%,0%,0%,0%,4%,0%
1,206,6001,North Bridge House Senior Canonbury,141250,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,206,7030,Richard Cloudesley School,100467,0,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,206,7001,The Bridge Integrated Learning Space,141605,0,FS,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,206,4112,Holloway School,100453,0,CY,150,38.3,-0.29,-0.5,-0.09,24%,5%,19%,6%,37%,37%
2,206,7031,The Bridge School,134030,0,CYS,6,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
4,206, , , , , ,1378,45.4,0.14,0.07,0.21,51.00%,25.80%,43.60%,28.20%,63.10%,59.70%
1,206,6906,City of London Academy Islington,135587,0,AC,88,46.8,0.49,0.22,0.76,82%,35%,44%,43%,67%,67%
1,206,6162,Italia Conti Academy of Theatre Arts,100461,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,206,4704,Mount Carmel Catholic College for Girls,100460,0,VA,81,42.2,0.16,-0.11,0.44,31%,16%,32%,21%,54%,52%
1,206,4651,St Aloysius RC College,100459,0,VA,159,44.9,-0.1,-0.3,0.09,82%,35%,41%,40%,65%,60%
1,206,4001,"City of London Academy, Highgate Hill",143659,0,F, , , , , , , , , , , 
2,206,7000,St Mary Magdalene Academy: the Courtyard,139418,0,FS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,206,4614,Central Foundation Boys' School,100458,0,VA,135,56,0.77,0.56,0.98,39%,33%,71%,33%,85%,82%
2,206,7002,The Bridge Satellite Provision,143702,0,FS, , , , , , , , , , , 
1,206,4307,Highbury Fields School,100455,0,CY,121,48.9,0.49,0.26,0.71,38%,29%,43%,32%,60%,60%
1,206,4324,Elizabeth Garrett Anderson School,100457,0,CY,162,50.9,0.56,0.37,0.76,77%,31%,55%,31%,77%,73%
1,206,4108,Highbury Grove School,100452,0,CY,190,40.6,-0.44,-0.62,-0.26,58%,22%,39%,24%,58%,51%
1,206,6905,St Mary Magdalene Academy,134314,0,AC,163,50.5,0.47,0.27,0.66,43%,33%,55%,34%,74%,71%
2,206,7146,Samuel Rhodes MLD School,100469,0,CYS,13,0.5,-1.37,-2.05,-0.7,0%,0%,0%,0%,0%,0%
1,206,4325,Arts and Media School Islington,131690,0,FD,102,42.1,-0.07,-0.35,0.2,34%,25%,39%,25%,60%,54%
1,207,6348,Ashbourne Independent School,100537,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6905,Chelsea Academy,135531,0,AC,178,52.9,0.41,0.22,0.6,28%,19%,53%,21%,74%,71%
1,207,4681,Saint Thomas More Language College,100502,0,VA,109,50.6,0.16,-0.08,0.4,40%,15%,50%,17%,72%,70%
1,207,4801,Sion-Manning Catholic Girls' School,100503,0,VA,93,46.5,0.09,-0.18,0.37,22%,14%,41%,18%,67%,67%
1,207,5402,The Cardinal Vaughan Memorial RC School,141931,0,ACC,121,59.8,0.3,0.08,0.53,38%,28%,67%,33%,87%,85%
1,207,4320,Holland Park School,140134,0,ACC,233,60.3,0.84,0.67,1,81%,56%,66%,66%,82%,82%
1,207,6362,Collingham,100539,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6009,Westminster Tutors,140603,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6026,Queen's Gate School,100511,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6391,Lycee Francais Charles de Gaulle,100547,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6007,Epic Learning,140225,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,4000,Kensington Aldridge Academy,140212,0,AC, , , , , , , , , , , 
1,207,6262,Kensington Park School,100526,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,207, , , , , ,743,54.5,0.43,0.34,0.52,46.70%,30.70%,56.80%,35.80%,76.30%,75.00%
1,207,6202,More House School,100521,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6396,Tabernacle School,131778,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6363,Mander Portman Woodward School,100540,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,207,7164,Parkwood Hall Co-Operative Academy,141957,0,ACCS,11,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,208,4003,Trinity Academy,140966,0,F,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,208,7115,Elm Court School,100659,0,CYS,17,2.7,-1.94,-2.59,-1.29,0%,0%,0%,0%,0%,0%
2,208,5950,Turney Primary and Secondary Special School,100643,0,FDS,9,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,208,5401,Bishop Thomas Grant Catholic Secondary School,100638,0,VA,166,54.1,0.45,0.26,0.64,49%,39%,61%,40%,77%,75%
1,208,6906,Ark Evelyn Grace Academy,135389,0,AC,177,39.8,-0.35,-0.55,-0.16,41%,22%,31%,26%,54%,50%
1,208,4000,Oasis Academy South Bank,139659,0,F,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,208,6004,DLD College London,100529,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,208, , , , , ,1955,43.9,-0.12,-0.17,-0.06,48.20%,22.20%,38.90%,25.00%,59.30%,56.00%
1,208,5403,Archbishop Tenison's School,100640,0,VA,83,34.8,-1.07,-1.36,-0.79,24%,5%,18%,5%,45%,39%
1,208,5404,St Martin in the Fields High School for Girls,137966,0,ACC,134,43.5,-0.26,-0.48,-0.04,53%,20%,33%,25%,54%,53%
2,208,7195,The Michael Tippett School,133442,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,208,4321,Lilian Baylis Technology School,100625,0,CY,112,49.4,0.53,0.29,0.78,45%,24%,49%,26%,75%,71%
1,208,4731,The Elmgreen School,129649,0,VC,165,40.6,-0.57,-0.76,-0.37,61%,16%,25%,19%,41%,39%
1,208,5405,London Nautical School,100642,0,FD,95,40.7,-0.67,-0.93,-0.42,13%,7%,28%,8%,58%,49%
2,208,7001,Lansdowne School,100654,0,CYS,29,1.9,-1.62,-2.08,-1.15,0%,0%,0%,0%,0%,0%
1,208,6311,Streatham and Clapham High School,100648,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,208,4509,Saint Gabriel's College,100627,0,VA,94,38.6,-0.55,-0.85,-0.26,40%,12%,29%,14%,47%,46%
1,208,2657,Woodmansterne School,100590,0,CY, , , , , , , , , , , 
1,208,6907,City Heights E-ACT Academy,137954,0,AC, , , , , , , , , , , 
1,208,5402,Dunraven School,137093,0,ACC,205,48.8,-0.07,-0.24,0.1,67%,33%,49%,38%,70%,66%
1,208,6905,Lambeth Academy,134815,0,AC,169,43.7,-0.18,-0.38,0.01,32%,14%,41%,15%,62%,59%
1,208,4322,Platanos College,136450,0,ACC,180,49.5,0.47,0.27,0.66,79%,28%,47%,29%,66%,64%
1,208,6003,The Laurels School,140356,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,208,4223,Norwood School,100624,0,CY,134,46.5,0.25,0.03,0.47,36%,14%,31%,21%,58%,54%
2,208,6001,Octavia House Schools,138803,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,208,5400,La Retraite Roman Catholic Girls' School,100637,0,VA,144,53.4,0.67,0.46,0.88,60%,44%,61%,47%,80%,78%
1,208,5207,Durand Academy,136288,0,ACC,32,34.4,-1.42,-1.85,-0.99,91%,13%,31%,13%,63%,31%
1,208,4005,South Bank Engineering UTC,142905,0,UTC, , , , , , , , , , , 
2,209,7038,Brent Knoll School,100760,0,FDS,20,6.1,-1.14,-1.68,-0.6,0%,0%,0%,0%,0%,0%
1,209,6032,St Dunstan's College,100754,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,209,4323,Prendergast Ladywell School,100747,0,FD,159,39.5,-0.76,-0.97,-0.55,49%,17%,26%,23%,47%,47%
1,209,4047,Deptford Green School,100740,0,CY,191,39.7,-0.34,-0.54,-0.14,28%,13%,29%,16%,50%,49%
2,209,7180,Greenvale School,100765,0,CYS,19,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,209,4204,Sydenham School,100741,0,CY,191,51.5,0.3,0.12,0.49,57%,36%,48%,42%,70%,67%
1,209,6905,Haberdashers' Aske's Hatcham College,135073,0,AC,203,52.5,0.16,-0.02,0.33,47%,29%,50%,34%,72%,69%
1,209,4636,"Trinity Church of England School, Lewisham",100749,0,VA,107,46.1,-0.42,-0.66,-0.17,30%,19%,43%,19%,69%,64%
1,209,4289,Forest Hill School,100745,0,CY,227,42,-0.74,-0.91,-0.57,39%,15%,33%,19%,55%,52%
2,209,7183,Drumbeat School and ASD Service,136423,0,CYS,12,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,209,4249,Conisborough College,100742,0,CY,168,39.9,-0.37,-0.56,-0.17,33%,6%,32%,7%,46%,45%
1,209,5201,Prendergast Vale School,135843,0,FD,110,47,-0.13,-0.37,0.11,74%,35%,47%,38%,60%,57%
4,209, , , , , ,2257,44,-0.27,-0.33,-0.22,40.20%,18.80%,37.40%,22.00%,57.90%,55.70%
1,209,4802,Bonus Pastor Catholic College,100752,0,VA,141,51.8,0.4,0.19,0.61,31%,20%,51%,21%,73%,70%
1,209,6309,Sydenham High School GDST,100757,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,209,4646,Prendergast School,100750,0,VA,115,56.5,0.43,0.19,0.66,66%,35%,56%,40%,75%,74%
1,209,6907,St Matthew Academy,135264,0,AC,142,48.6,0.23,0.02,0.45,37%,23%,50%,23%,69%,68%
1,209,4267,Sedgehill School,100743,0,CY,161,35.4,-1.03,-1.24,-0.81,25%,6%,24%,8%,41%,39%
1,209,6906,Haberdashers' Aske's Knights Academy,135070,0,AC,172,42.1,-0.5,-0.69,-0.31,45%,12%,24%,16%,58%,55%
1,209,6409,Marathon Science School,135901,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,209,4600,Addey and Stanhope School,100748,0,VA,119,39.9,-0.63,-0.86,-0.41,21%,10%,32%,12%,53%,50%
2,210,6391,Cavendish School,131237,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,6905,City of London Academy (Southwark),134222,0,AC,191,55.4,0.26,0.08,0.44,63%,34%,53%,37%,76%,75%
1,210,4003,The Charter School East Dulwich,142178,0,F, , , , , , , , , , , 
1,210,4002,University Academy of Engineering South Bank,140221,0,AC, , , , , , , , , , , 
1,210,4318,The Charter School,136298,0,ACC,178,56.9,0.41,0.22,0.59,59%,42%,61%,45%,76%,75%
2,210,7007,Highshore School,100872,0,CYS,16,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
2,210,6005,Treasure House London Cic,141031,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,210,7174,Tuke School,100880,0,CYS,8,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,210,6006,Bosco Centre College,141562,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,6002,James Allen's Girls' School,100863,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,4001,Ark All Saints Academy,139718,0,AC, , , , , , , , , , , 
1,210,6912,Ark Globe Academy,135584,0,AC,155,45.4,0.2,-0.02,0.41,59%,29%,44%,35%,65%,62%
1,210,6000,Dulwich College,100861,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,210,6908,Harris Girls' Academy East Dulwich,132711,0,AC,129,52,0.83,0.6,1.07,84%,40%,52%,42%,65%,65%
2,210,7048,Spa School,100873,0,CYS,11,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,210,5402,The St Thomas the Apostle College,100857,0,VA,131,51.2,0.88,0.64,1.12,65%,40%,47%,47%,71%,69%
2,210,7064,Newlands Academy,140138,0,ACCS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,210,6312,Alleyn's School,100864,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,210, , , , , ,2347,49.9,0.3,0.24,0.35,62.40%,32.20%,47.00%,36.40%,67.40%,65.60%
1,210,5403,St Michael's Catholic College,138961,0,ACC,119,52.9,0.45,0.23,0.68,73%,32%,53%,34%,81%,76%
1,210,5405,Sacred Heart Catholic School,138960,0,ACC,133,55.6,1.06,0.84,1.27,65%,44%,59%,51%,80%,80%
1,210,6913,Harris Boys' Academy East Dulwich,135816,0,AC,131,52.3,0.74,0.52,0.96,66%,21%,40%,23%,63%,63%
1,210,6909,Ark Walworth Academy,135315,0,AC,169,46,0.18,-0.02,0.37,53%,29%,39%,34%,59%,57%
1,210,4265,Kingsdale Foundation School,136309,0,ACC,267,54.3,-0.03,-0.18,0.12,66%,38%,59%,42%,76%,76%
1,210,6911,Bacon's College,135401,0,AC,167,46.1,-0.25,-0.44,-0.06,59%,24%,40%,26%,64%,59%
1,210,6906,Harris Academy Peckham,134225,0,AC,151,38.7,-0.04,-0.28,0.19,37%,10%,17%,19%,39%,39%
1,210,5404,Notre Dame Roman Catholic Girls' School,100859,0,VA,115,43.4,0.07,-0.17,0.3,58%,22%,35%,24%,55%,53%
1,210,6907,Harris Academy Bermondsey,131747,0,AC,160,49.6,0.27,0.07,0.47,91%,41%,47%,51%,63%,63%
1,210,4000,Compass School Southwark,139587,0,F, , , , , , , , , , , 
1,210,4680,St Saviour's and St Olave's Church of England School,100849,0,VA,125,53,0.28,0.06,0.5,47%,36%,57%,38%,84%,79%
1,211,4000,Wapping High School,138202,0,F,37,46.4,-0.2,-0.61,0.22,78%,32%,62%,32%,73%,62%
1,211,4242,Mulberry School for Girls,100968,0,CY,205,55,0.67,0.5,0.85,85%,49%,54%,57%,75%,74%
1,211,4150,Morpeth School,100967,0,CY,226,48.7,0.2,0.03,0.36,40%,24%,46%,27%,70%,69%
1,211,4276,Stepney Green Mathematics and Computing College,100969,0,CY,167,50.7,0.15,-0.04,0.34,92%,34%,54%,38%,72%,71%
