BR1 (2017 DATA UPDATE ITEMS INCLUDED FOR FIRST TIME IN THIS TICKET ARE IN BOLD),Primary (key stage 2) data,Secondary (key stage 4) data,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-READ-DESC,yes,no,"Performance measure: Primary (key stage 2): Progress in reading: Description (also referred to as ""statistical significance"")",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-READ-SCORE,yes,no,"Performance measure: Primary (key stage 2): Progress in reading: Score (also referred to as ""measure"")",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-READ-CI,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-READ-CI-LOWER,yes,no,"Performance measure: Primary (key stage 2): Progress in reading: Confidence interval, lower value",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-READ-CI-UPPER ,yes,no,"Performance measure: Primary (key stage 2): Progress in reading: Confidence interval, upper value",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-WRITE-DESC,yes,no,"Performance measure: Primary (key stage 2): Progress in writing: Description (also referred to as ""statistical significance"")",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-WRITE-SCORE,yes,no,"Performance measure: Primary (key stage 2): Progress in writing: Score (also referred to as ""measure"")",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-WRITE-CI,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-WRITE-CI-LOWER,yes,no,"Performance measure: Primary (key stage 2): Progress in writing: Confidence interval, lower value",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-WRITE-CI-UPPER,yes,no,"Performance measure: Primary (key stage 2): Progress in writing: Confidence interval, upper value",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-MATH-DESC,yes,no,"Performance measure: Primary (key stage 2): Progress in maths: Description (also referred to as ""statistical significance"")",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-MATH-SCORE,yes,no,"Performance measure: Primary (key stage 2): Progress in maths: Score (also referred to as ""measure"")",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-MATH-CI,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-MATH-CI-LOWER,yes,no,"Performance measure: Primary (key stage 2): Progress in maths: Confidence interval, lower value",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG-MATH-CI-UPPER,yes,no,"Performance measure: Primary (key stage 2): Progress in maths: Confidence interval, upper value",,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL-URNS,yes,yes,Unique Record Number given to a school,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-READ-DESC,yes,no,"Performance measure: Primary (key stage 2): Progress in reading: Description (also referred to as ""statistical significance"") (Disadvantage)", (Disadvantage),,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-READ-SCORE,yes,no,"Performance measure: Primary (key stage 2): Progress in reading: Score (also referred to as ""measure"") (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-READ-CI,yes,no, (Disadvantage),,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-READ-CI-LOWER,yes,no,"Performance measure: Primary (key stage 2): Progress in reading: Confidence interval, lower value (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-READ-CI-UPPER,yes,no,"Performance measure: Primary (key stage 2): Progress in reading: Confidence interval, upper value (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-WRITE-DESC,yes,no,"Performance measure: Primary (key stage 2): Progress in writing: Description (also referred to as ""statistical significance"") (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-WRITE-SCORE,yes,no,"Performance measure: Primary (key stage 2): Progress in writing: Score (also referred to as ""measure"") (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-WRITE-CI,yes,no, (Disadvantage),,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-WRITE-CI-LOWER,yes,no,"Performance measure: Primary (key stage 2): Progress in writing: Confidence interval, lower value (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-WRITE-CI-UPPER,yes,no,"Performance measure: Primary (key stage 2): Progress in writing: Confidence interval, upper value (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-MATH-DESC,yes,no,"Performance measure: Primary (key stage 2): Progress in maths: Description (also referred to as ""statistical significance"") (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-MATH-SCORE,yes,no,"Performance measure: Primary (key stage 2): Progress in maths: Score (also referred to as ""measure"") (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-MATH-CI,yes,no, (Disadvantage),,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-MATH-CI-LOWER,yes,no,"Performance measure: Primary (key stage 2): Progress in maths: Confidence interval, lower value (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG-MATH-CI-UPPER,yes,no,"Performance measure: Primary (key stage 2): Progress in maths: Confidence interval, upper value (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG8-DESC,no,yes,"Performance measure: Secondary (key stage 4): Progress 8: Description (also referred to as ""statistical significance"")",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG8-SCORE,no,yes,"Performance measure: Secondary (key stage 4): Progress 8: Score (also referred to as ""measure"")",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG8-CI,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG8-CI-LOWER,no,yes,"Performance measure: Secondary (key stage 4): Progress 8: Confidence interval, lower value",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-PROG8-CI-UPPER,no,yes,"Performance measure: Secondary (key stage 4): Progress 8: Confidence interval, upper value",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG8-DESC,no,yes,"Performance measure: Secondary (key stage 4): Progress 8: Description (also referred to as ""statistical significance"") (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG8-SCORE,no,yes,"Performance measure: Secondary (key stage 4): Progress 8: Score (also referred to as ""measure"") (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG8-CI,no,yes, (Disadvantage),,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG8-CI-LOWER,no,yes,"Performance measure: Secondary (key stage 4): Progress 8: Confidence interval, lower value (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-PROG8-CI-UPPER,no,yes,"Performance measure: Secondary (key stage 4): Progress 8: Confidence interval, upper value (Disadvantage)",,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-EBACC-ENT,no,yes,Performance measure: Secondary (key stage 4): EBacc: % Entry,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-EBACC-ENT,no,yes,Performance measure: Secondary (key stage 4): EBacc: % Entry (Disadvantage),,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-EBACC-95,no,yes,Performance measure: Secondary (key stage 4): EBacc: % Achieving 9/A*-5/C,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-EBACC-94,no,yes,Performance measure: Secondary (key stage 4): EBacc: % Achieving 9/A*-4/C,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-EBACC-95,no,yes,Performance measure: Secondary (key stage 4): EBacc: % Achieving 9/A*-5/C (Disadvantage),,,,,,,,,,,,,,,,,,,,,,,,,,
MAT-DIS-EBACC-94,no,yes,Performance measure: Secondary (key stage 4): EBacc: % Achieving 9/A*-4/C (Disadvantage),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
